Id,Label,node_type,modularity_class,degree,weighted degree,eigencentrality,pageranks,stat_inf_class,clustering,triangles,X,Y,Size,Color
1955,"B43: punishment, capital, crimes",Becker,1,36,6.408598,0.218777,0.001637,19,0.177778,112,-1386.187866,-1869.290283,24.38356,"#f5dc00"
1963,"B44: auto, bankruptcy, gm",Becker,2,39,4.930205,0.309219,0.001783,16,0.102564,76,-1265.22998,920.192627,25.616438,"#73c000"
1971,"B45: china, freedom",Becker,15,63,12.436695,0.777712,0.002889,20,0.108039,211,774.833984,-271.410187,35.479454,"#ff8805"
1980,"B46: china, currency",Becker,15,40,7.600879,0.451954,0.001726,12,0.137179,107,605.251465,224.772797,26.027397,"#ff8805"
1987,B47: disasters,Becker,19,35,2.937595,0.191007,0.001758,24,0.063866,38,1866.234985,765.640259,23.972603,"#b88a00"
1995,B48: posner,Becker,9,31,2.452837,0.094779,0.001974,22,0.083871,39,-2640.47876,29.523067,22.328768,"#ff2ec4"
2008,"B49: employees, tenure, sector",Becker,2,60,10.092678,0.717986,0.002587,31,0.10904,193,-449.624878,638.152466,34.246574,"#73c000"
2019,"B50: draft, military",Becker,11,35,4.047468,0.268917,0.00186,3,0.095798,57,-527.243835,-417.452698,23.972603,"#4300a3"
2035,"B51: nuclear, plants, power",Becker,4,30,3.140836,0.106056,0.001583,17,0.108046,47,-2500.454346,2714.356445,21.917809,"#05ff00"
2051,"B52: guns, criminals",Becker,1,39,5.739583,0.27531,0.001763,19,0.155196,115,-1358.045776,-1752.12207,25.616438,"#f5dc00"
2057,"B53: online, poker",Becker,0,27,3.052108,0.061518,0.0015,24,0.082621,29,-93.905342,-3049.090088,20.684933,"#008a3b"
2067,"B54: minimum, wage",Becker,16,35,4.757906,0.316369,0.001538,9,0.119328,71,285.783142,602.276062,23.972603,"#00bd94"
2073,"B55: mail, postal",Becker,5,29,2.25587,0.08139,0.001757,2,0.064039,26,-3192.742676,-1377.737061,21.506849,"#00c4ff"
2092,"B56: policies, approach",Becker,9,44,5.323736,0.364866,0.00239,22,0.072939,69,-1095.395752,114.071053,27.671234,"#ff2ec4"
2107,"B57: riots, french",Becker,16,38,4.529091,0.281652,0.001885,10,0.098151,69,225.24704,-1057.327515,25.205479,"#00bd94"
2116,B58: mexico,Becker,16,36,3.637199,0.329666,0.001689,15,0.088889,56,521.371399,-976.468323,24.38356,"#00bd94"
2126,"B59: drugs, rd, generics",Becker,1,40,4.181148,0.223359,0.002243,25,0.069231,54,-1630.477295,-1620.276367,26.027397,"#f5dc00"
2140,"B60: judges, court",Becker,17,36,3.894286,0.24364,0.001777,28,0.085714,54,-1405.157837,-105.648285,24.38356,"#0011f5"
2151,"B61: organs, transplants",Becker,10,27,2.682447,0.067282,0.001564,25,0.068376,24,-1593.388428,-3601.046143,20.684933,"#7370ff"
2164,"B62: damages, compensatory",Becker,17,36,3.165573,0.158536,0.002037,28,0.052381,33,-2245.285889,-401.874176,24.38356,"#0011f5"
2183,"B63: patents, innovations",Becker,1,29,3.30913,0.092471,0.001796,25,0.076355,31,-2292.65625,-1969.93689,21.506849,"#f5dc00"
